degallsub_w_avg,degallsub_b_avg,pet_avg,ICallsub_w_avg,ICallsub_b_avg,AvgMIallsub_avg,btw_avg,mmp_roi_id,yeo_7_nw,network_number
9.370644551377342,167.22222222222223,37.20270485348172,35.820393370014834,35.511393896329935,0.0514162525318549,0.0023698397192373094,239,SalVentAttn,5
10.219406374653895,160.33333333333334,38.52643299102783,36.07133485538019,35.654912901812985,0.05907471639856315,0.0028180791233000067,240,SalVentAttn,5
5.338275431259,130.66666666666666,35.565451516045464,36.63558756845034,35.98694369222834,0.03938161176705705,0.004312545477204112,241,Default,4
7.874628514334069,158.33333333333334,40.536431630452476,36.819044141498225,36.103870928289815,0.04729504448938376,0.0030401887831606705,242,Cont,6
7.358930930025467,146.0,41.12262651655409,36.7522186876461,36.11082001415551,0.047821074778413505,0.002655265707474543,243,Cont,6
6.360797183727654,138.55555555555554,39.14385477701823,36.69335964313328,36.01028966080228,0.04276249506600056,0.0033346599611659856,244,Default,4
6.133771451183525,138.22222222222223,39.553365071614586,36.272850110980414,35.72874624299018,0.04352595633702776,0.0030090331295150575,245,Default,4
4.062377600907509,109.44444444444444,40.657014740837944,35.93022019984806,35.852141105094134,0.03466277014715783,0.0029125511053221895,246,Default,4
9.094977131619421,158.22222222222223,42.012594858805336,36.99296989769131,36.12645785689186,0.05531293620478009,0.0030743595000623115,247,Cont,6
7.586329631131499,148.44444444444446,41.727167977227104,36.295477922715,36.01348383878613,0.0498620699815912,0.0027728531744596004,248,Default,4
11.63965488162389,172.44444444444446,37.517962561713325,36.85379237968502,36.01212757009615,0.06614355814318534,0.002139689890693907,249,Default,4
6.4125816386960075,145.88888888888889,39.00861284467909,36.175665038428214,35.728001863149885,0.04206721217936889,0.0032643084851920194,250,Default,4
4.784125016165406,123.88888888888889,40.71681213378906,36.45823062755962,36.00661593512525,0.03777323964424653,0.003516568777612954,251,Default,4
8.2855240442059,151.44444444444446,34.24988714853922,37.12457299323963,36.1739138934652,0.05338354253248623,0.0027497376894967257,252,Default,4
11.225625333194138,175.77777777777777,43.03608428107368,36.83625333854095,36.1305729634045,0.061702126021764774,0.002029137571306246,253,Cont,6
9.551401789038136,174.22222222222223,40.8866171307034,36.23930663902474,35.93617916371856,0.05396409051371616,0.002433156047613879,254,SalVentAttn,5
7.137711813485183,157.55555555555554,38.52500237358941,35.825542523611745,35.57657575012473,0.043349094174830564,0.0028824004727619184,255,Default,4
7.772093479911155,149.66666666666666,37.752268367343476,36.2115293072497,35.932290765378355,0.05048009418022735,0.003038178740989986,256,Default,4
8.225911284918947,152.66666666666666,37.30841721428765,36.665897242524416,35.97868527324034,0.051902143936440284,0.0023507443186158044,257,Cont,6
15.81342715420865,194.66666666666666,41.935179816352,36.05460351447501,35.73684141560298,0.07776976945269243,0.0018964747880410532,258,DorsAttn,3
6.009734486620151,136.25,39.215139389038086,37.08079808932639,36.935905392570994,0.04213299769033234,0.0030493596005644196,259,Cont,6
8.265324965748647,152.77777777777777,42.2004359960556,35.78240175294871,35.555313157201425,0.048400376977503386,0.003055264099440806,260,DorsAttn,3
8.384189445810243,161.33333333333334,39.49637953440348,36.36370181820598,35.92886464611383,0.050421084952806006,0.002949736885479857,261,Cont,6
7.913115283332634,157.66666666666666,39.49439960055881,36.522802427842436,35.90142172015041,0.04985505105059444,0.0029547619909065692,262,Cont,6
8.2570362233502,151.55555555555554,39.484330071343315,37.12045180387701,35.97010175384173,0.054088192544280225,0.0024944623338197633,263,Cont,6
8.596080534119396,163.22222222222223,41.904539320203995,36.644527373995395,36.0108020548259,0.052484713854617254,0.002945716801138488,264,Cont,6
7.502918519412221,143.0,40.895042419433594,37.48217466752956,36.43602804903688,0.05188683116143815,0.002648230559877146,265,Cont,6
9.738248430602498,166.44444444444446,42.27412064870199,37.05040978239874,36.12380381680721,0.05584822817554505,0.002259287399849649,266,SalVentAttn,5
7.018209627379993,146.22222222222223,36.90543630388048,37.176767831010665,36.29389390696511,0.04610867873203581,0.0031326507230121686,267,Default,4
6.839580135424531,148.44444444444446,38.544031884935166,36.234679623644226,35.78605175210004,0.04497150377749912,0.003050238994014095,269,Cont,6
6.1227796395737455,132.88888888888889,37.87202082739936,36.965978210592795,36.229089071532904,0.044036218189227025,0.0032542582743385956,271,Cont,6
5.28817090871145,133.0,33.85833115047879,36.21395378172886,35.99224659419792,0.03804595662310262,0.0030542590783554638,274,Default,4
5.915151534603816,128.11111111111111,36.78126835823059,36.436340496537376,35.78260539820928,0.04358062305266937,0.0032622984430213347,275,DorsAttn,3
11.87627966533506,188.11111111111111,40.87115118238661,35.403586397802584,35.3641316129442,0.06171216193480373,0.0018050178692748972,276,DorsAttn,3
5.469751011970597,132.22222222222223,41.77332358890109,36.24405726203232,35.820513040083405,0.0400569677200697,0.0033748608045796797,277,Cont,6
4.470271206296321,115.66666666666667,41.9665773179796,36.242443717821395,35.91255427240871,0.037048306919715154,0.0028442096715189085,278,Default,4
10.178555894230733,159.33333333333334,36.5472666422526,35.60689507112734,35.52053207397806,0.06271649783624057,0.0025859192525859195,279,SomMot,2
9.15440429936035,159.88888888888889,33.69220617082384,35.489203168979664,35.49080778461038,0.05452930775338164,0.0023638095927252557,280,SomMot,2
6.418937692962167,137.11111111111111,35.34030342102051,35.08035465331387,35.44757144010119,0.04434463681461499,0.0028462197136895928,281,SomMot,2
5.931147633375094,140.77777777777777,29.712005191379124,35.24824386775031,35.551567334137694,0.03975654448010565,0.0030834046898303926,282,SomMot,2
5.298063288355769,130.44444444444446,34.26697964138455,35.39120090388546,35.27761430817684,0.03820159107953265,0.003348730256360779,283,SomMot,2
10.249694402791492,172.55555555555554,35.24377123514811,35.10951361481831,35.17203312526861,0.055053795484126734,0.00226833258961773,284,SomMot,2
12.608643495519248,182.66666666666666,35.29227087232802,35.239857537611,35.55493974792331,0.06668361060742736,0.0022241116618626658,285,SalVentAttn,5
11.763702895049148,162.0,34.43473752339681,35.62201596630318,35.64605408286666,0.06666950756632274,0.0017959726795068161,286,SalVentAttn,5
7.7493622542127305,158.0,30.682666248745388,35.664518280967265,35.693123129657195,0.04497966657188,0.0028281293341534306,287,SomMot,2
12.450249830719242,181.0,40.603919453091095,35.8783330563156,35.60061685245195,0.0654090019411258,0.001992956812233921,288,SalVentAttn,5
