degallsub_w_avg,degallsub_b_avg,pet_avg,ICallsub_w_avg,ICallsub_b_avg,AvgMIallsub_avg,btw_avg,mmp_roi_id,yeo_7_nw,network_number
4.327199424557116,11.333333333333334,39.01098420884874,36.98197569805396,37.4706863166122,0.38233597148565446,0.0011135145042180411,1,Vis,1
0.43311321854649715,1.0,37.570929527282715,37.77850087483724,37.77850087483724,0.43311321854649715,,2,Vis,1
,,39.36416901482476,,,,,3,Vis,1
,,38.01811303032769,,,,,4,Vis,1
,,36.8470671971639,,,,,5,Vis,1
,,35.58861276838515,,,,,6,Vis,1
,,38.798135333591034,,,,,7,Vis,1
,,38.90998797946506,,,,,8,SomMot,2
,,40.022406895955406,,,,,9,SomMot,2
,,44.67350641886393,,,,,10,DorsAttn,3
,,45.362923092312286,,,,,11,DorsAttn,3
,,43.2486637963189,,,,,12,Default,4
,,32.453332583109535,,,,,13,Vis,1
,,35.469015757242836,,,,,14,Default,4
,,46.21889432271322,,,,,15,Default,4
,,37.88417159186469,,,,,16,Vis,1
,,40.62060568067763,,,,,17,Vis,1
,,36.98977406819662,,,,,18,Vis,1
,,36.03143458896213,,,,,19,Vis,1
,,34.28167035844591,,,,,20,Vis,1
,,34.96976629892985,,,,,21,Vis,1
,,35.67305437723795,,,,,22,Vis,1
,,38.96632491217719,,,,,23,Vis,1
,,46.947363959418404,,,,,24,SomMot,2
,,40.67652829488119,,,,,25,SalVentAttn,5
,,44.98882611592611,,,,,26,Default,4
,,43.28638521830241,,,,,27,Default,4
,,38.9383676317003,,,,,28,Default,4
,,44.04472563001845,,,,,29,Cont,6
,,50.47715377807617,,,,,30,Default,4
,,41.70646625094943,,,,,31,Default,4
,,46.69456418355306,,,,,32,Default,4
,,45.96671570671929,,,,,33,Default,4
0.2625547381432267,1.0,51.06601481967502,39.61544418334961,39.61544418334961,0.2625547381432267,,34,Default,4
,,45.706035886492046,,,,,35,Default,4
0.3455051311622973,1.0,36.35441207885742,39.887602996826175,39.887602996826175,0.3455051311622973,,36,SomMot,2
0.326183471653288,1.0,35.77941820356581,37.79283905029297,37.79283905029297,0.326183471653288,,37,SalVentAttn,5
0.4336714889741098,1.0,40.243420918782554,40.02335071563721,40.02335071563721,0.4336714889741098,,38,SalVentAttn,5
0.37487240834740726,1.0,32.79107273949517,39.355464935302734,39.355464935302734,0.37487240834740726,,39,SomMot,2
0.38124664924813345,1.0,42.347620222303604,40.84241612752279,40.84241612752279,0.38124664924813345,,40,SomMot,2
0.3856122759419909,1.0,41.87784512837728,40.305524826049805,40.305524826049805,0.3856122759419909,,41,SalVentAttn,5
0.34913295745248824,1.0,36.27521260579427,40.799166997273765,40.799166997273765,0.34913295745248824,,42,DorsAttn,3
0.35930426279047184,1.0,45.25120629204644,41.01426982879639,41.01426982879639,0.35930426279047184,,43,SalVentAttn,5
,,44.21768103705512,,,,,44,DorsAttn,3
0.44102717293721383,1.0,35.96751795874702,39.84662961959839,39.84662961959839,0.44102717293721383,,45,DorsAttn,3
0.4544494800699019,1.0,32.98517756991916,39.0346417427063,39.0346417427063,0.4544494800699019,,46,DorsAttn,3
0.45642120841670586,1.0,36.570971700880264,38.03156280517578,38.03156280517578,0.45642120841670586,,47,DorsAttn,3
0.3658380201332962,1.0,40.92022577921549,40.75591786702474,40.75591786702474,0.3658380201332962,,48,DorsAttn,3
0.5028236721773143,1.0,32.99550829993354,41.035911560058594,41.035911560058594,0.5028236721773143,,49,DorsAttn,3
0.40392411660868827,1.0,40.36178779602051,39.31020545959473,39.31020545959473,0.40392411660868827,,50,DorsAttn,3
0.4080208610644419,1.0,33.87578985426161,43.04489517211914,43.04489517211914,0.4080208610644419,,51,SomMot,2
0.354860037070393,1.0,39.15044773949517,39.48332595825195,39.48332595825195,0.354860037070393,,52,SomMot,2
0.38502359102217176,1.0,37.377257664998375,39.2254753112793,39.2254753112793,0.38502359102217176,,53,SomMot,2
0.2713818871391517,1.0,38.406744215223526,43.04489517211914,43.04489517211914,0.2713818871391517,,54,SomMot,2
