degallsub_w_avg,degallsub_b_avg,pet_avg,ICallsub_w_avg,ICallsub_b_avg,AvgMIallsub_avg,btw_avg,mmp_roi_id,yeo_7_nw,network_number
3.7643026453133457,18.125,32.36471366882324,28.247861830054664,28.008263843507855,0.20831423904547902,7.688411302869134e-05,86,SalVentAttn,5
4.207174239654141,18.125,28.57852828502655,28.566240818361223,27.899075517432273,0.23225129104624032,0.007828611744274395,87,Default,4
2.3303335075268716,16.0,27.78719985485077,28.131482358353455,28.368947406666972,0.14637545695559764,0.0005472339809689207,89,Default,4
2.986410461157294,18.0,28.78662407398224,28.345297115933086,28.08501039147582,0.16461449589775934,0.0006128116067875104,91,Cont,6
2.8846533119842412,16.125,28.430771589279175,28.633040426156064,28.27780278424953,0.17349790572458468,0.00046130467817214805,94,Default,4
3.0085286806454192,16.0,31.980185781206405,27.68074630268717,27.96158027938323,0.19125308668705968,0.0013613010600962408,95,DorsAttn,3
3.074019066641955,15.875,31.935683369636536,27.522838576252436,27.76312323388389,0.1932568817528334,,96,DorsAttn,3
2.832524619458687,15.875,32.52284014225006,27.642963135622715,27.62727888687318,0.177592404530081,0.0013386880856760374,97,Default,4
3.3889825493221397,16.875,29.471633553504944,28.747297954327966,28.122867918126467,0.20407950878905018,0.0004462293618920125,98,Default,4
2.33799177041716,16.875,27.314716458320618,27.85000317784705,27.881964067091978,0.1350179491906934,0.01772555688218339,99,SomMot,2
2.7740324029215233,17.375,26.994131922721863,27.813304869133297,28.134617558092465,0.1554152110666852,0.004947718803140489,100,SomMot,2
2.9686046652324185,17.5,29.38447141647339,28.002728964162465,28.02649762602606,0.16521605484282462,0.003952747928651543,101,SomMot,2
1.9835345858181026,15.375,28.32853925228119,27.876744905361797,28.158258429309193,0.12329363395739834,0.0010980860378450737,102,SomMot,2
2.4724643778371798,15.875,29.57625937461853,27.81365927356796,27.788727978439557,0.14578713347313005,0.00028220992076413763,103,SomMot,2
1.9323270061120166,14.75,28.159080624580383,28.527668133802912,28.294052215156512,0.12255223092069266,0.0028175766127573358,104,SomMot,2
2.7228444760337798,15.5,31.884819269180298,27.427326836418995,27.730803043639995,0.16755585901878767,9.045189768081334e-06,105,SalVentAttn,5
3.2365084526540757,18.0,28.608240485191345,27.82945265292948,27.849662191265807,0.17641991995810843,0.004594956402185318,106,SalVentAttn,5
3.006869611936139,17.5,25.31586515903473,28.207828642677,28.12658789298316,0.16770360180423122,0.00029849126234668405,107,SomMot,2
2.76900641340535,16.75,32.98061430454254,28.150037135241632,27.92141713766829,0.16208202436119135,0.008493433192228372,108,SalVentAttn,5
2.472719084427327,17.625,33.0667005777359,27.70929860854881,28.035899180631986,0.13718836259441708,0.006006006006006006,109,SalVentAttn,5
2.4085102335758855,16.125,31.72340738773346,28.013965603644365,28.233212547807167,0.1406085621663749,0.00014472303628930135,111,SalVentAttn,5
2.097385063889995,16.0,28.548246145248413,28.3614159178938,28.242060726546633,0.12847011902221783,0.001327381598465936,112,Cont,6
1.918660982127617,13.125,31.018763184547424,27.960290521965245,28.27135368869418,0.1420344271840516,0.010962769998914577,113,SalVentAttn,5
1.5907243271853337,12.75,26.751885414123535,27.636717011584864,27.776194502459525,0.12271926711552145,0.0031778766718525754,114,SalVentAttn,5
1.4872084397335388,13.125,24.891479969024658,26.482279446045794,27.36890701921577,0.10735226055968226,0.006839972502623105,115,SomMot,2
2.607946237123839,15.25,28.59989583492279,26.773125459106325,27.398588323964624,0.16424676609219868,0.001166829480082492,116,DorsAttn,3
2.8837112470469632,13.875,32.19578039646149,27.256473063508935,27.474282189264095,0.2062985523760924,0.005807011831108217,117,DorsAttn,3
2.6535482717428267,16.875,22.991073608398438,28.86277724834112,28.28806665493432,0.15354796644434116,0.004486414124968341,119,Vis,1
2.787583419929791,17.875,25.833845257759094,28.449901149631053,28.132154525552615,0.15260973626823465,0.001172256593943341,121,Vis,1
2.7197445256147956,17.125,22.18341600894928,28.573239788504164,27.945666669027137,0.1565727218174738,0.0013748688447483629,123,Default,4
